Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,City,Pickup Location,Drop Location,Fare (INR)
6/20/2025,12:45:04,97876788-c4e3-456a-9b34-33d3bdcb6fbc,Ongoing,4462c096-ae5d-45af-9c05-d7cd83e4725e,Auto,Hyderabad,Agate Nagar,Ram Zila,1460.36
7/9/2025,18:54:23,27edaf02-38c0-4b5c-a318-98096833f8cb,Ongoing,2b295080-e828-43e9-a2c8-64d44d6cfc30,Prime Sedan,Pune,Saraf Nagar,Bansal Marg,514.93
6/8/2025,19:30:03,cab715e0-a8a7-4d3c-a1a8-8cfd1c9a69a7,Ongoing,028332a0-8100-41b7-892a-9410b691302d,Auto,Bangalore,Chand Zila,Sibal Path,684
7/22/2025,0:43:43,b0ae9d6e-139e-4596-a5cb-120aa9225d69,Ongoing,67e9a999-89ac-4e19-a7de-8873d0ed84a9,eBike,Ahmedabad,Dube Ganj,Uppal Chowk,1200.92
6/26/2025,14:18:44,ed7d3d5b-a47a-4ae0-8a20-af02162b0315,Cancelled,3c6e7f7b-21cf-42a6-bd00-71184d39d18a,Bike,Hyderabad,Sami Path,Comar Zila,245.71
6/8/2025,13:17:59,6871f0d7-eb75-4814-a4a5-c211ec9e6572,Completed,b2bdc6bb-f098-41c6-aa51-ad4ba23eb1bc,Mini,Pune,Krishnan Marg,Kadakia Chowk,1193.38
6/27/2025,20:51:54,f7ea0e91-6657-4701-afc5-2385db391cdb,Cancelled,297bb18d-a40f-46d9-8417-2a3d6e9050a3,Prime Sedan,Ahmedabad,Sant Nagar,Sura,76.08
6/10/2025,18:04:26,bd255a22-3e14-4632-9bca-7b4c529a7a23,Ongoing,440dd4dc-e29d-4bd1-9423-38d48c8d385b,eBike,Mumbai,Gala Street,Tripathi Chowk,786.48
6/11/2025,11:19:09,f3acc068-f227-4f1b-9d28-59399b2d24cb,Cancelled,c970d0a3-349a-4379-8c8d-ffa3b024d341,eBike,Bangalore,Lala Zila,Mani Ganj,626.95
7/25/2025,13:28:28,35374b7e-0836-492f-a10f-e600852113a7,Completed,65ff4245-99ee-4150-8dcc-d2314bd5f85f,Prime SUV,Bangalore,Sankar Chowk,Ganesh Chowk,231.73
7/8/2025,12:35:25,7a37e16b-8de9-444c-a84e-28c83d6469c7,Completed,3637243a-d424-4e6f-82d2-261118425f83,Bike,Kolkata,Tailor Street,Warrior,897.53
7/18/2025,13:18:36,9b474437-8e90-409d-8d1d-fdb8c1f96e95,Ongoing,e6eeedae-3cb4-492b-9639-f7ff18df5eaf,Prime Plus,Hyderabad,Rana Zila,Hari Street,294.01
7/11/2025,2:07:58,f0bdc427-8394-4fa1-8d7e-86bf8ad22aac,Cancelled,523151e0-13ca-4df5-83f8-c5f06bf37acb,Prime Plus,Kolkata,Chadha Street,Devan Road,492.46
6/18/2025,22:48:56,080aed47-288b-44c2-ab55-e4abc74de51d,Cancelled,f3a2225f-81b3-4647-80f5-39313f426779,Prime SUV,Chennai,Keer Path,Bava Street,364.22
6/30/2025,9:48:06,6d7b2eaa-9ff9-4b49-aa62-3af6c051b646,Cancelled,3849d929-8bc3-4096-a1b8-a92e00ea7d53,Auto,Ahmedabad,Yohannan Zila,Rajagopalan Circle,1181.2
6/13/2025,18:41:24,16b326d1-01a0-46e6-a94b-514ce23a767a,Completed,ce2cad82-b053-40cd-94c2-35ccf8eb03e0,Prime SUV,Kolkata,Sidhu Marg,Sodhi Street,1318.6
6/23/2025,0:28:17,349ee0fc-9b9f-4e03-8ecd-0aa5ed3596c9,Completed,09cd004b-cf05-4b4b-b150-ee423128241b,eBike,Chennai,Cherian Street,Issac,1118.82
7/21/2025,18:37:53,9968e47a-23b3-4add-ac0e-452e9fbc65fa,Cancelled,7d2b8c04-189e-43eb-9c7a-7cc0d58e605d,Prime Sedan,Hyderabad,Ratti Marg,Kant Marg,166.22
7/23/2025,6:22:16,30def8c4-e01e-45bb-adf8-e7531ff33e0b,Completed,2e34632c-bcb3-4e75-8d50-a7bf2f016ae5,Prime Sedan,Chennai,Mammen,Hari Chowk,899.12
6/19/2025,6:37:07,e9ee5046-9b2f-4aa3-b533-c9b6ea370b26,Completed,69ce66c6-19c2-41a4-804c-4d58842d150d,Prime SUV,Ahmedabad,Uppal Circle,Koshy Street,294.72
7/17/2025,15:32:55,64ae19e7-e8ad-4ac8-abc9-717b1aa09fa9,Cancelled,77710e54-154d-49b0-b026-29bb379b12e5,Auto,Mumbai,Gole Ganj,Sane Nagar,280.58
7/7/2025,20:56:16,7d51f67f-13d2-4cb7-8c56-a8b3dd6b93c2,Completed,98f3c7d6-df78-4d02-8c2f-e62ed9f05db0,eBike,Ahmedabad,Sankaran Marg,Mandal Ganj,316.17
6/12/2025,1:18:00,29934c1e-ed9c-4511-a41e-01abe8ead9ea,Cancelled,50af042b-37d4-433d-a04d-8b8a237508bd,Auto,Ahmedabad,Kumar Path,Varkey Road,558.03
6/26/2025,3:54:37,80c001fc-9ecd-44d2-8642-5ba67acd7320,Cancelled,ecc98ea5-ec45-41a4-a0ef-318bf0a0a2da,Bike,Ahmedabad,Dhar Ganj,Banik Road,1144.72
8/4/2025,22:47:08,d3db334d-6d77-44a4-a114-19d3cde539ff,Ongoing,690273ff-c3c2-4030-bc31-823bbdd85045,Bike,Chennai,Dhar Road,Sandhu,823.26
7/24/2025,14:31:00,651e0365-a3c0-437a-aef2-23d1acd31dbd,Cancelled,b2dbdab0-f476-4720-93f1-ec8a8b845320,Mini,Hyderabad,Khurana Marg,Chakrabarti Ganj,561.37
7/17/2025,9:52:53,9360a6f3-117a-4a08-a17b-3acf08e52a66,Completed,7ec019ae-ffc9-4652-926c-2f4454470517,Auto,Jaipur,Shukla,Viswanathan,1203.93
6/19/2025,4:21:06,9fa4e438-7812-4465-abff-36ec6d450a48,Ongoing,8a40a2de-e4ac-42ee-b549-4fa0602ce4c5,Mini,Chennai,Varughese Street,Karpe Circle,1404.05
8/3/2025,20:47:34,c92de097-b94a-4f77-bdd9-5b0e32cd5ddc,Cancelled,ff8a1c36-63c6-4b5d-9511-cb3756ff8e3e,Prime Sedan,Kolkata,Dugar Path,Lal Nagar,638.32
7/15/2025,11:14:40,1334c608-bac8-4c43-8e8a-fab2bba40146,Ongoing,a42962f0-0ba2-49ff-915f-c71353fae522,Prime Plus,Mumbai,Jain Path,Balasubramanian Marg,1147.55
7/1/2025,5:29:55,d6d743dc-058f-42a4-a914-032057d46bc8,Completed,f1990e5b-181f-4254-9656-7d0790258ed0,Prime Plus,Ahmedabad,Bajwa Street,Walla Chowk,1483.84
6/26/2025,5:27:24,f3fdcc50-5efc-4268-9333-af5b6503b8a5,Cancelled,9eebd481-f674-420d-951f-6f0cbc5c98c3,Prime SUV,Mumbai,Yogi Street,Saha Marg,698.47
7/14/2025,19:27:19,9779b62f-3a0c-44b0-9a40-7a8addeab8ef,Completed,e03da1fd-f4bb-4a79-8ee0-d07d0b790790,Prime SUV,Jaipur,Goyal Road,Vyas Marg,851.08
7/26/2025,22:30:25,5ffef163-f9cf-4f11-852a-8d0401261c6f,Ongoing,f1bbfb2b-e346-4b84-aa1d-d045dda33bed,Mini,Bangalore,Goda Path,Konda Circle,323.62
7/7/2025,20:24:45,8f9cb556-6aa9-4eed-8163-9e9d71981246,Cancelled,667528a8-885d-453f-ac87-23e551bba58b,Auto,Hyderabad,Rastogi Chowk,Tak Nagar,1152.69
7/30/2025,9:37:42,11337c9c-2b19-4835-b797-74a4a827bdf2,Ongoing,d3f23d27-7dc9-4b84-b48f-a7a623da8c4f,Auto,Delhi,Sur Chowk,Dyal Ganj,1327.18
6/15/2025,2:11:40,b29a54a2-e532-4c74-ae97-a3e0efb8fb45,Ongoing,a45d9990-27df-4e8f-8290-2db92b3b8960,Prime SUV,Delhi,Varty Path,Sachdeva,986.87
8/1/2025,8:14:37,90e5051a-033f-4b1a-9ab4-320ec8d59895,Cancelled,96152f46-aaa7-44c3-83d4-4adae7eccd88,Prime Plus,Delhi,Anand Chowk,Walia Zila,181.43
6/8/2025,13:53:50,157ad418-2316-467f-987e-95c9f31b8e19,Ongoing,1e9f73b0-abfb-4b62-81e4-e1174c0c9dab,Prime Plus,Bangalore,Sunder Circle,Verma Street,1421.36
7/26/2025,19:13:46,fa980a77-94d2-4ad8-add0-6ca906bcc99d,Completed,7dbecadb-2f50-40e7-847c-b7ff426ce105,Mini,Jaipur,Bhattacharyya Path,Bath Circle,1199.73
6/15/2025,8:45:57,0b14637e-7874-41c2-a746-b04963e4fc19,Ongoing,52bab3e6-103f-4768-aee5-b15b509cb03c,Prime SUV,Delhi,Rout Zila,Chand Ganj,406.24
6/8/2025,7:19:55,799fedba-8f32-4746-81b2-954c46fed386,Completed,10d31931-e4c7-4a8c-b1b2-f63b257b1c23,Mini,Bangalore,Doctor Nagar,Bains Ganj,446.61
6/8/2025,18:39:29,f7addb7c-6d21-4ebb-bb02-cfb23190bccc,Completed,34760612-833c-4b29-8d69-136b3b4d6c68,Prime Sedan,Lucknow,Baria,Trivedi Circle,466.84
7/20/2025,17:04:08,15731233-67bf-4780-bb1c-b447532b07cc,Ongoing,ef0ebd93-26dc-4bcd-a4dd-43407d6ffa3a,eBike,Pune,Choudhary Ganj,Maharaj Street,881.43
6/12/2025,9:26:53,15bc62f8-1b95-4201-8a47-b09e59d22ec9,Completed,8feb8e6d-bdd3-4f85-b577-cfdb58ba738f,Prime SUV,Bangalore,Mallick Zila,Talwar Chowk,911.33
6/6/2025,9:09:38,5bdb4258-167e-4aca-a448-840a640cb838,Cancelled,78f16c31-5638-4da6-8130-0e48681245af,eBike,Chennai,Sachar Chowk,Basak Ganj,1192.69
7/17/2025,19:43:47,6b492162-0c1d-4c6f-8742-c794e5360fec,Completed,2debead9-4b94-4be2-8afc-33e1f9f5dcdf,Prime Plus,Ahmedabad,Sidhu,Kari Street,927.95
7/1/2025,0:25:06,c7cdc685-dc26-4e19-8987-8e84e6deba1a,Completed,f04e7777-4f3d-4f4a-a8a2-db3fc4f15f51,Auto,Chennai,Magar Circle,Warrior,999.93
8/1/2025,22:04:27,693cc835-5721-426e-8a4e-3994af2b649a,Completed,c3d2ab00-76d0-4ca1-94dd-0eed165d6fe6,Prime Sedan,Lucknow,Hegde Ganj,Sur Road,621.91
7/28/2025,20:40:24,c5b2bb68-4a5b-4151-b7de-325d41c44497,Cancelled,917209ee-abec-47a2-8b43-d44072e1c4b2,Mini,Chennai,Wadhwa Road,Lad Circle,1255.64
7/9/2025,19:38:26,17919e87-83a4-487a-8387-7164056adeed,Cancelled,5a7564d7-a6ac-4e99-b247-d2006c8b4d03,Prime SUV,Chennai,Saini Chowk,Das Marg,692.91
7/2/2025,0:34:05,3b8da650-0dec-4bd2-a616-0284d2951a44,Cancelled,c0314867-6d29-4c6a-83d3-9bdc83bff9c2,Mini,Kolkata,Gill Street,Sha Circle,244.85
6/11/2025,21:20:54,3996a8aa-0915-4642-acb5-4084a0ef2d4a,Ongoing,9b2b9cab-f750-4f32-a5f5-47aed320ffa5,eBike,Chennai,Iyengar,Sarna Nagar,627.83
6/22/2025,0:46:48,2a7276e9-312d-4945-a680-0e5a4b350b0e,Cancelled,c2df2f73-2615-4b44-9896-35064ab2eac5,Prime SUV,Delhi,Kothari Nagar,Chakraborty Ganj,430.3
7/22/2025,8:24:35,9fd70de3-a99e-4b9b-bc17-09fb57942bff,Completed,17870675-3c98-4464-8e95-4404f81770d6,Prime Sedan,Delhi,Subramanian Chowk,Choudhary Path,1255.01
6/10/2025,5:12:51,900a13d1-62d3-4171-bf79-27400236e778,Cancelled,1499d9c5-d57c-4618-ada3-89ae63fc81cf,eBike,Ahmedabad,Balan Circle,Vig,546.9
7/30/2025,15:08:30,e31da84e-686a-4195-b9f9-a1a87d946ec1,Cancelled,9ea9c051-3f1e-4826-89be-ac222583f3b9,Bike,Hyderabad,Johal Chowk,Sawhney Marg,1266.76
7/27/2025,2:58:35,ab1ae927-b381-4fcc-8682-11ddb6b0f52b,Completed,3f8044fc-91a6-4430-9979-88a40765ac50,Prime Plus,Delhi,Ram Zila,Ram Marg,1446.17
6/29/2025,23:04:01,5521f2a9-45dc-4ac1-a62c-331445cb4d35,Ongoing,498976f4-2a6f-4ab4-b844-138d962857fd,Prime Sedan,Lucknow,Cheema Ganj,Walia Nagar,573.89
7/29/2025,2:06:45,686180f6-abbb-4964-92c2-1c1fbacabae9,Cancelled,8600712b-4daf-4900-969f-b32bc8a26718,eBike,Jaipur,Shenoy,Bandi Zila,331.6
7/31/2025,8:09:24,e61d919b-67d7-4d42-ab2d-8c73a159ac2d,Ongoing,b5f07d65-638f-41ca-a95b-035ac2745cdb,Auto,Hyderabad,Bandi,Ganesh Zila,146.79
6/23/2025,4:00:11,0bba5fa2-7f5d-4e8d-9430-d7570967aca2,Ongoing,e0c7033f-c5e8-46db-9d83-0c27c80d60da,Prime SUV,Bangalore,Chahal Chowk,Master Marg,1262.13
6/19/2025,19:12:12,485ba212-b62f-4c3b-abd5-4973d5cf3f7a,Ongoing,b3713aa9-c9f9-4d61-80cb-c150c620b795,Prime Sedan,Lucknow,Kaur Nagar,Kapur Path,988.17
6/25/2025,21:31:38,48f83180-b324-43e6-87db-9568915b5424,Completed,7ee30e3f-3c04-4bd1-93bf-039c03b5b5f4,Bike,Mumbai,Shan Circle,Shukla,77.21
7/14/2025,0:04:14,a7e44392-ea2c-4f0c-8054-5b2876199344,Ongoing,6969e1ed-e4bb-409a-9f10-d877a2365f6e,Prime Plus,Jaipur,Badal,Dube Path,385.82
7/18/2025,6:16:57,948132bb-5187-42ac-89b8-87048d73f654,Ongoing,1f3627af-7c7c-4191-8e32-98243d98a863,Mini,Jaipur,Choudhry Path,Date Chowk,158.56
7/8/2025,16:42:24,471fd7b9-d0e8-41e7-8d14-0891282b69b4,Completed,35b5058c-7b6f-4450-9c9d-dd23516cd7ed,Mini,Delhi,Karnik Street,Dave Chowk,1119.12
6/17/2025,9:34:03,57a518fa-17f1-43bf-b3b1-0cd663239bc0,Ongoing,f1c68a45-6390-47b4-a42a-5e6f5438f286,Mini,Delhi,Dara Ganj,Ganesan,172.38
7/12/2025,19:27:04,f871d989-529a-4732-a984-988b28bf124a,Ongoing,48103e01-e7be-4156-885f-ba3b3f55f65c,Mini,Hyderabad,Batra Zila,Bhatnagar,368.43
7/4/2025,17:17:38,b0b0dce2-e7ae-41a3-b635-737070a1d517,Completed,98efccc1-1a36-4604-b7dc-b1e3473d3b73,Prime Sedan,Mumbai,Ranganathan Chowk,Deol Circle,587.57
7/1/2025,14:07:02,b4518c0e-5eea-4687-b60b-41bffb56a520,Completed,f66584b3-2ebf-459a-a33d-06da432c042f,Bike,Ahmedabad,Jani Nagar,Swamy Road,341.15
6/7/2025,8:06:15,3fea3bb5-8487-40fb-b0bb-504df60e77e7,Cancelled,ec47eed0-0769-4852-be40-f9e738a5350d,Bike,Bangalore,Hora Ganj,Shenoy Chowk,947.82
7/12/2025,4:22:49,9537889f-43fd-4300-8247-4f173efcb2c2,Cancelled,69079d85-01fb-42a0-905b-f6143cf828b4,Mini,Delhi,Sant Marg,Bhandari Circle,244.98
6/23/2025,14:22:08,73ff3290-e3b1-49b9-bfb0-b2e22958efd9,Cancelled,31e978b2-9179-43b2-86c9-b43042a5a21b,Auto,Delhi,Sem Circle,Mann Street,481.92
7/12/2025,13:28:18,b3ff754c-1df3-4b4a-ade4-acbe9d000eec,Ongoing,60a80f66-2819-4466-a791-3e16c9ca6c44,Prime SUV,Hyderabad,Saha Chowk,Balasubramanian Road,722.34
7/25/2025,18:39:00,60eb2537-0589-4bff-9f45-5af7703c5a2c,Ongoing,785a46a5-cb3d-4abe-ae9d-3469daded487,Mini,Ahmedabad,Sachdev Street,Mann Nagar,175.92
8/3/2025,19:45:27,6623a3da-d6d6-4375-9364-0b6caa7dd919,Ongoing,9763de99-93bb-48e6-ac58-13d08939846e,Prime SUV,Kolkata,Choudhry Path,Grover Marg,908.24
7/4/2025,17:04:54,f3a02239-7885-461b-9c34-4fd0f5a597cf,Completed,86d1216a-7ead-409b-85f3-ad09f06a863f,Prime Sedan,Pune,Halder Street,Bora Street,604.37
7/7/2025,2:45:57,b98af23c-4bcd-4317-8f2f-87ad1c5ff456,Ongoing,3c77755d-b5f4-4ed0-ab2b-f818a897ff32,Bike,Jaipur,Buch Chowk,Sachdev Ganj,58.39
6/13/2025,23:52:43,ef0e37c5-8562-469e-a909-08f2a24f6464,Cancelled,30296d37-bcd7-4105-99c7-a16dfeb30825,Prime Plus,Bangalore,Agrawal Path,Aurora Marg,117.83
7/9/2025,23:53:41,5d24ce34-fe8a-41f3-a9ca-0089dc5b0d12,Completed,7df84071-62f5-42cd-9c80-b93da523bd7c,Mini,Jaipur,Gole,Saxena Circle,1449.38
6/10/2025,4:13:37,9f3d98ed-d550-4822-8bf2-3ea1a2200b0c,Completed,c9dbb65a-7da3-444c-8fab-6fc139f950a8,eBike,Kolkata,Ahuja Circle,Chadha Street,1401.06
7/14/2025,3:54:46,4311e254-1646-4e93-8c5d-bb3072e52ad2,Completed,831f20a6-c4c1-4b93-a4a5-67d1bc463752,Mini,Mumbai,Rana Chowk,Chowdhury,258.17
6/26/2025,18:19:32,5ae73cfd-4d69-46f5-a649-a5a737474e21,Cancelled,a61de828-4e73-4e1e-a6ad-c183baf177a7,Auto,Lucknow,Ravi,Vig Zila,754.49
6/28/2025,22:15:49,67dc814d-52af-48d8-9479-3f85b822ebca,Cancelled,1bbd7ea2-9d02-48af-8516-f5fa6cae8c22,Auto,Hyderabad,Saxena Ganj,Wali Circle,104.04
8/2/2025,8:16:11,1945b1f0-f405-42a8-9505-1cba0a206fd4,Cancelled,adf723ba-378f-44ef-b5b7-a24a4ee80c6d,Bike,Hyderabad,Jhaveri,Barad Path,629.96
6/10/2025,17:53:05,506fe725-609e-4c78-a2a5-db41efee7290,Completed,803f9354-357c-45db-8bb5-4d1f75aee3e9,Prime Sedan,Pune,Thakkar Nagar,Date Street,630.34
6/19/2025,2:04:07,6f4a2752-8714-4424-ae29-a4495f51e89d,Completed,a5ca19cd-8992-43bf-b458-2df1a756dd93,Mini,Mumbai,Salvi Circle,Sekhon Nagar,1389.03
7/2/2025,15:21:44,3a7c6cb2-fa5b-41e2-bfde-0504de1b317b,Ongoing,aa8afd62-b7fc-4b00-864e-e493edc4b401,eBike,Kolkata,Virk Street,Bhandari Path,1135.13
7/3/2025,22:37:03,49ca2ef1-e71c-463f-b954-0a9eb0e6874b,Ongoing,44318c0b-596f-44a2-9bc0-239a35fddacd,Prime Plus,Mumbai,Ranganathan,Madan Zila,1254.88
8/1/2025,21:25:12,4818423d-0034-4f25-a9c1-5a553602aeff,Cancelled,41475248-c67d-4c9b-8e4c-c859431b2b41,eBike,Bangalore,Bains Circle,Varkey Chowk,129.59
7/9/2025,12:52:55,86261bc5-21f7-4e6a-9ae1-d920c2523241,Completed,92ca1aa2-6185-4c4f-b6ee-09ac2cfa6fa4,eBike,Pune,Sane Chowk,Maharaj Ganj,1464.64
6/26/2025,14:29:18,e99a61cb-29a9-4f5f-a34f-5aa461f23f84,Ongoing,5698288e-6e42-4c93-bd6e-0148a784677e,eBike,Chennai,Bedi Circle,Bail Zila,1311.95
6/23/2025,11:32:32,87e69676-9ae2-4e46-a3f2-6feef02d2980,Cancelled,973ffe01-7c1f-45c5-bfba-3204efe46e0c,Prime Plus,Bangalore,Sahni Nagar,Subramanian Path,616.84
6/27/2025,23:00:13,fd03b3ba-28a5-439a-8eba-ba0d0a404a2b,Cancelled,d03ea6d9-84b9-49c2-9d8f-fb7ce32ae022,Mini,Pune,Hegde Path,Dugal Street,366.66
7/30/2025,1:55:32,16c4e45d-97f6-46d4-8d47-9a3c629bedb3,Ongoing,c50521a7-13ec-4b21-80c3-fa7d8d3989f5,Bike,Jaipur,Bahl Chowk,Karnik Street,812.3
7/11/2025,14:39:42,aa410758-ba86-4fc3-b366-755afb60e6c9,Cancelled,7881c288-eb48-4160-8b5f-93a1a0f6ed13,eBike,Hyderabad,Subramanian Zila,Issac Marg,1412.12
7/25/2025,18:20:17,e020594a-2053-4676-a72d-8b5c117fd63d,Completed,2f2be3be-c3a4-4c44-93a6-a3b9d0244d8a,eBike,Mumbai,Kala Road,Sehgal Marg,64.97
8/3/2025,8:10:58,d1b3efd1-a19d-47c4-a00b-509f8b72980a,Cancelled,86b9e6b9-77be-4b4d-9bce-227d155aef64,Bike,Ahmedabad,Gola Zila,Rama Path,880.04
6/21/2025,15:16:34,382b6024-148d-444c-a587-36eacc94c667,Completed,737419a1-4590-41f2-a0a7-59c7114f5cb8,Auto,Ahmedabad,Ram Road,Chad Path,380.99
7/30/2025,7:06:59,08f81300-3ed8-426e-bd93-942fea86173b,Completed,bbda8290-2dfc-43b8-90c8-a866fd8f9e7a,Prime Sedan,Bangalore,Deo Road,Gola Ganj,301.52
6/21/2025,3:06:07,2f8adece-735e-4997-a754-4921457186cf,Ongoing,0acf92a7-7a72-4ff5-b3f0-ff08b955d0d5,Mini,Chennai,Sama Chowk,Bera,443.5
6/10/2025,11:02:27,308dfbc4-15cc-419b-96b4-48b06dd6a726,Ongoing,bcbf759a-9347-4ee3-bda3-ec1659fb3e9b,Mini,Lucknow,Sankar Ganj,Zacharia,180.69
7/10/2025,21:54:27,4cc4e7e7-8020-4883-8971-f128bc0e1659,Ongoing,23a4a6f0-c32a-4313-ace2-d8d4d8e5c217,Auto,Delhi,Buch Marg,Balan Chowk,1247.94
7/15/2025,20:59:08,5e14742a-2a7f-473b-9e2f-802987a72b6b,Cancelled,0a80f80e-74ca-417b-a04d-8b87d7cb6a69,Prime SUV,Hyderabad,Bhatia Circle,Bassi,1005.6
6/29/2025,12:36:28,ac641a36-f598-428a-9527-6eb4d754cdf0,Ongoing,a7256f42-5066-4113-b038-f37e8d51864c,Mini,Bangalore,Gera Nagar,Khosla Street,1293.22
7/10/2025,10:09:21,8a8e6829-884f-4ba6-a648-1a022a81bb3a,Ongoing,ac221b7c-9129-4978-8b8b-116d631e4e7f,Prime Sedan,Hyderabad,Babu Ganj,Varughese Zila,1026.28
6/13/2025,6:56:01,4a5deac8-2b17-42fc-8618-a9b8195712ad,Cancelled,54b757fc-3345-4766-9dd7-c77ab0e67967,Prime Plus,Pune,Kulkarni Zila,Yohannan Marg,348.1
